Student_ID,Gender,Board_10th,Marks_10th,Board_12th,Marks_12th,Stream,Cgpa,Internship,Training,Backlog,Innovative_Project,Communication_Score,Technical_Course,Placement_Status
STU1253,F,ICSE,83.5,State Board,74.5,Computer Science,8.18,Yes,No,No,Yes,5,Yes,Placed
STU1254,F,CBSE,81.2,ICSE,89.1,Civil Engineering,9.68,No,No,No,Yes,5,No,Placed
STU1255,F,CBSE,55.1,State Board,54.2,Architecture,5.97,No,Yes,No,Yes,1,No,Placed
STU1256,F,ICSE,75.0,CBSE,88.2,Medicine,9.26,No,No,No,No,4,Yes,Placed
STU1257,M,CBSE,83.5,CBSE,65.4,Electrical Engineering,9.35,No,Yes,No,No,2,Yes,Placed
STU1258,F,ICSE,84.7,ICSE,87.6,Medicine,8.29,Yes,Yes,Yes,Yes,1,No,Not Placed
STU1259,F,CBSE,81.3,ICSE,78.7,Architecture,9.21,Yes,No,No,Yes,4,No,Placed
STU1260,F,CBSE,85.3,State Board,74.7,MBA,8.7,Yes,No,No,Yes,4,Yes,Placed
STU1261,M,State Board,93.4,State Board,52.6,Science,8.27,Yes,No,No,Yes,1,No,Placed
STU1262,F,CBSE,76.8,State Board,80.2,Commerce,7.23,Yes,Yes,No,No,1,No,Placed
STU1263,F,State Board,83.1,CBSE,69.0,Civil Engineering,5.65,Yes,Yes,No,No,5,Yes,Placed
STU1264,F,ICSE,90.5,CBSE,89.7,Medicine,6.93,No,No,No,Yes,1,Yes,Placed
STU1265,F,State Board,77.4,State Board,55.0,Arts,9.36,No,Yes,No,No,1,No,Not Placed
STU1266,M,ICSE,64.3,CBSE,83.7,Chemical Engineering,5.96,No,Yes,No,Yes,4,No,Placed
STU1267,F,CBSE,77.8,CBSE,76.0,Electronics,7.36,No,Yes,No,Yes,2,Yes,Placed
STU1268,F,ICSE,97.1,State Board,85.8,Commerce,6.68,No,No,No,Yes,2,No,Placed
STU1269,F,State Board,86.7,State Board,79.7,MCA,6.36,No,No,Yes,No,1,No,Not Placed
STU1270,F,ICSE,89.8,State Board,55.0,Law,7.14,Yes,Yes,No,Yes,3,No,Placed
STU1271,F,CBSE,87.4,CBSE,66.9,Electrical Engineering,7.45,Yes,No,No,No,1,No,Placed
STU1272,M,CBSE,87.0,CBSE,79.2,Commerce,8.86,No,Yes,No,No,5,Yes,Placed
STU1273,F,ICSE,62.6,State Board,53.5,Chemical Engineering,9.64,Yes,No,No,No,2,Yes,Placed
STU1274,M,ICSE,75.1,CBSE,51.9,MBA,9.49,Yes,No,No,No,1,No,Placed
STU1275,M,State Board,61.9,State Board,75.2,Information Technology,5.9,Yes,Yes,No,No,2,No,Not Placed
STU1276,M,State Board,69.9,CBSE,92.5,Computer Science,8.14,Yes,Yes,No,No,4,Yes,Placed
STU1277,M,State Board,90.4,ICSE,74.2,MCA,7.69,No,Yes,No,Yes,3,Yes,Placed
STU1278,M,State Board,57.8,State Board,79.6,Information Technology,6.42,No,Yes,Yes,No,1,Yes,Placed
STU1279,M,CBSE,58.1,CBSE,87.3,Commerce,7.9,Yes,No,No,No,4,No,Placed
STU1280,M,State Board,55.3,State Board,79.1,Science,8.75,Yes,Yes,No,Yes,3,No,Placed
STU1281,F,ICSE,72.0,State Board,51.4,MCA,6.17,Yes,Yes,No,No,2,No,Not Placed
STU1282,M,State Board,92.6,CBSE,55.8,Arts,5.52,No,Yes,Yes,No,2,No,Not Placed
STU1283,M,CBSE,64.5,ICSE,59.1,Electronics,6.28,Yes,No,Yes,No,1,Yes,Not Placed
STU1284,F,ICSE,60.5,State Board,61.0,Architecture,6.73,Yes,Yes,No,No,3,No,Not Placed
STU1285,F,ICSE,96.2,CBSE,50.2,Electronics,6.56,Yes,No,No,No,2,No,Not Placed
STU1286,F,ICSE,88.3,ICSE,75.9,Medicine,6.26,Yes,No,Yes,No,1,Yes,Not Placed
STU1287,F,State Board,64.1,CBSE,75.9,Computer Science,7.84,No,Yes,No,Yes,5,No,Placed
STU1288,F,ICSE,76.6,State Board,61.2,Mechanical Engineering,9.65,Yes,Yes,No,Yes,5,Yes,Placed
STU1289,F,CBSE,64.4,ICSE,60.9,Architecture,6.64,Yes,Yes,No,No,4,No,Not Placed
STU1290,M,State Board,68.9,State Board,95.5,Electrical Engineering,8.22,No,No,No,Yes,4,No,Placed
STU1291,F,ICSE,96.8,CBSE,74.3,Mechanical Engineering,7.02,No,No,No,Yes,5,Yes,Placed
STU1292,M,State Board,82.7,CBSE,57.1,Biotechnology,6.18,Yes,Yes,Yes,No,1,No,Not Placed
STU1293,M,State Board,61.9,ICSE,51.1,Architecture,5.69,Yes,Yes,Yes,Yes,2,No,Not Placed
STU1294,M,State Board,86.3,ICSE,94.5,Science,6.43,No,No,Yes,No,5,Yes,Not Placed
STU1295,F,CBSE,86.1,ICSE,93.4,Information Technology,8.07,Yes,Yes,No,Yes,1,Yes,Placed
STU1296,M,State Board,59.1,ICSE,92.4,Law,8.08,Yes,Yes,No,Yes,5,Yes,Placed
STU1297,F,ICSE,92.6,State Board,74.9,Law,6.49,No,No,Yes,Yes,4,Yes,Placed
STU1298,M,ICSE,80.7,State Board,69.2,Biotechnology,6.31,Yes,Yes,Yes,No,2,No,Not Placed
STU1299,M,ICSE,83.0,ICSE,62.3,Civil Engineering,7.81,No,No,No,No,2,No,Not Placed
STU1300,M,ICSE,79.0,ICSE,61.9,Architecture,6.82,No,No,No,Yes,2,No,Not Placed
STU1301,M,CBSE,76.9,ICSE,87.6,Information Technology,8.14,Yes,Yes,No,Yes,1,Yes,Placed
STU1302,M,CBSE,66.3,ICSE,53.8,Law,5.66,No,No,No,Yes,2,No,Placed
STU1303,F,CBSE,56.4,State Board,74.0,Chemical Engineering,8.5,Yes,Yes,No,Yes,2,Yes,Not Placed
STU1304,F,State Board,72.0,State Board,59.4,Science,5.57,Yes,Yes,Yes,No,3,No,Not Placed
STU1305,F,ICSE,79.7,ICSE,58.2,Chemical Engineering,7.68,Yes,No,No,Yes,5,No,Placed
STU1306,F,ICSE,79.2,CBSE,85.6,MBA,9.63,No,No,No,Yes,4,Yes,Placed
STU1307,M,State Board,85.2,ICSE,69.4,Science,7.02,Yes,No,No,Yes,4,No,Placed
STU1308,F,ICSE,70.2,State Board,62.6,Information Technology,9.57,Yes,No,No,Yes,2,No,Placed
STU1309,M,State Board,70.3,CBSE,55.6,Chemical Engineering,5.84,No,Yes,No,Yes,4,No,Placed
STU1310,F,ICSE,62.9,State Board,63.2,Architecture,6.45,Yes,Yes,Yes,No,4,Yes,Placed
STU1311,M,ICSE,97.0,State Board,74.4,Science,6.86,Yes,Yes,No,No,5,Yes,Placed
STU1312,M,State Board,66.3,ICSE,72.2,MBA,8.14,No,Yes,No,Yes,4,No,Placed
STU1313,F,ICSE,62.7,CBSE,96.0,Science,8.45,Yes,No,No,No,4,Yes,Placed
STU1314,F,CBSE,62.6,ICSE,56.3,Electronics,9.34,No,No,No,Yes,4,Yes,Placed
STU1315,M,ICSE,75.5,State Board,54.5,Electrical Engineering,8.7,No,No,No,No,3,Yes,Placed
STU1316,M,State Board,79.8,State Board,75.3,Arts,9.71,No,No,No,No,4,Yes,Placed
STU1317,F,State Board,96.1,CBSE,80.1,MCA,9.49,No,No,No,Yes,1,Yes,Placed
STU1318,F,State Board,67.5,ICSE,78.5,Commerce,7.2,No,No,No,No,4,Yes,Placed
STU1319,M,State Board,65.1,ICSE,94.2,Computer Science,8.51,Yes,Yes,No,Yes,1,Yes,Placed
STU1320,M,CBSE,88.2,State Board,86.0,Architecture,5.86,No,Yes,Yes,No,3,Yes,Placed
STU1321,F,State Board,60.4,State Board,89.4,MCA,5.62,No,No,No,No,5,No,Placed
STU1322,F,State Board,87.2,State Board,70.4,Information Technology,8.25,No,No,No,Yes,1,No,Placed
STU1323,F,CBSE,68.1,CBSE,74.6,Law,8.76,Yes,No,No,Yes,4,No,Placed
STU1324,F,State Board,64.9,CBSE,75.8,Law,6.31,No,No,Yes,No,4,Yes,Placed
STU1325,M,State Board,87.9,State Board,88.0,Law,8.44,No,No,No,Yes,2,Yes,Placed
STU1326,F,ICSE,85.1,ICSE,58.8,Medicine,5.58,Yes,Yes,Yes,Yes,3,No,Placed
STU1327,M,CBSE,58.9,CBSE,73.2,Medicine,6.97,No,No,No,No,1,No,Placed
STU1328,M,ICSE,88.4,CBSE,75.5,Electronics,6.28,No,No,Yes,No,4,Yes,Not Placed
STU1329,M,ICSE,86.6,CBSE,74.5,Electrical Engineering,9.72,No,No,No,No,3,Yes,Placed
STU1330,M,ICSE,75.7,ICSE,59.3,Electrical Engineering,9.32,Yes,Yes,No,No,3,Yes,Placed
STU1331,M,ICSE,88.9,CBSE,95.5,MBA,8.0,No,Yes,No,Yes,2,Yes,Placed
STU1332,M,CBSE,70.3,CBSE,83.0,Commerce,8.9,Yes,No,No,No,4,Yes,Placed
STU1333,F,State Board,60.8,CBSE,72.8,Science,7.38,No,No,No,Yes,5,No,Placed
STU1334,F,State Board,94.3,State Board,57.5,Medicine,7.78,No,No,No,No,4,Yes,Not Placed
STU1335,M,CBSE,81.6,ICSE,86.5,Science,6.53,Yes,No,No,No,5,Yes,Placed
STU1336,F,State Board,68.8,CBSE,74.6,Commerce,5.79,Yes,Yes,No,No,2,Yes,Placed
STU1337,F,State Board,81.8,State Board,62.0,Science,7.08,Yes,Yes,No,Yes,4,Yes,Placed
STU1338,F,State Board,87.0,ICSE,88.6,Electrical Engineering,8.92,Yes,No,No,Yes,3,Yes,Placed
STU1339,M,State Board,64.9,ICSE,58.9,Civil Engineering,7.76,Yes,Yes,No,No,1,No,Not Placed
STU1340,M,CBSE,89.1,State Board,68.9,Law,6.95,Yes,No,No,No,5,No,Not Placed
STU1341,F,State Board,68.9,CBSE,76.5,Law,6.42,No,No,No,No,1,Yes,Not Placed
STU1342,M,ICSE,55.3,CBSE,60.1,Computer Science,6.85,No,Yes,No,No,2,Yes,Placed
STU1343,M,ICSE,89.9,CBSE,76.8,Biotechnology,7.95,Yes,Yes,No,No,2,No,Not Placed
STU1344,F,CBSE,86.4,State Board,67.9,Civil Engineering,8.85,No,No,No,No,4,Yes,Placed
STU1345,M,State Board,88.4,ICSE,52.5,Biotechnology,7.75,No,Yes,No,Yes,2,Yes,Placed
STU1346,F,State Board,79.7,CBSE,60.4,Science,6.75,No,Yes,Yes,No,5,Yes,Not Placed
STU1347,M,ICSE,76.6,State Board,56.1,MBA,6.08,Yes,No,Yes,Yes,5,Yes,Placed
STU1348,F,ICSE,84.4,State Board,54.2,MBA,8.39,No,No,No,No,3,Yes,Placed
STU1349,F,State Board,90.3,ICSE,79.3,Information Technology,7.39,Yes,Yes,No,Yes,1,Yes,Placed
STU1350,M,ICSE,55.6,State Board,87.8,Biotechnology,6.81,No,Yes,No,Yes,2,No,Placed
STU1351,M,ICSE,80.1,State Board,74.8,Electronics,6.6,Yes,No,No,No,1,No,Not Placed
STU1352,M,ICSE,83.4,State Board,90.0,Computer Science,8.34,Yes,Yes,No,No,2,No,Placed
STU1353,F,ICSE,92.3,State Board,54.1,Civil Engineering,6.36,No,Yes,Yes,No,3,No,Not Placed
STU1354,M,ICSE,84.4,ICSE,79.4,Information Technology,6.52,No,Yes,No,No,1,No,Placed
STU1355,F,State Board,60.9,State Board,68.0,Commerce,9.63,Yes,No,No,Yes,4,No,Placed
STU1356,F,State Board,60.7,State Board,56.5,Commerce,7.83,Yes,Yes,No,Yes,4,Yes,Placed
STU1357,F,CBSE,79.0,State Board,55.6,Information Technology,6.87,Yes,Yes,No,No,4,No,Placed
STU1358,M,CBSE,59.6,CBSE,51.2,MBA,9.74,No,Yes,No,Yes,1,No,Placed
STU1359,M,State Board,91.4,ICSE,83.5,Architecture,7.11,No,No,No,Yes,2,Yes,Placed
STU1360,F,ICSE,64.6,State Board,96.4,Computer Science,8.76,Yes,Yes,No,No,5,No,Placed
STU1361,M,ICSE,72.4,CBSE,78.6,Medicine,9.04,No,No,No,Yes,5,Yes,Placed
STU1362,M,State Board,78.1,State Board,51.8,Electrical Engineering,7.17,Yes,Yes,No,No,3,No,Placed
STU1363,F,State Board,94.5,State Board,74.3,Law,6.11,No,Yes,Yes,No,4,No,Not Placed
STU1364,F,State Board,93.6,CBSE,91.5,Information Technology,5.89,No,Yes,Yes,No,3,Yes,Not Placed
STU1365,M,ICSE,78.7,CBSE,86.1,Science,9.42,Yes,Yes,No,Yes,1,No,Placed
STU1366,F,State Board,62.8,CBSE,95.1,Medicine,5.52,No,Yes,Yes,No,5,Yes,Not Placed
STU1367,M,CBSE,80.3,ICSE,71.3,Architecture,7.4,Yes,Yes,No,No,5,Yes,Placed
STU1368,M,State Board,70.0,CBSE,90.1,Electronics,8.37,No,No,No,Yes,1,No,Not Placed
STU1369,F,State Board,83.4,State Board,78.0,Information Technology,8.89,Yes,No,No,No,1,Yes,Placed
STU1370,F,ICSE,90.3,ICSE,89.6,Commerce,5.78,No,Yes,Yes,No,3,No,Not Placed
STU1371,M,CBSE,79.6,State Board,74.9,Chemical Engineering,5.88,No,No,No,No,2,No,Not Placed
STU1372,F,CBSE,93.0,CBSE,83.3,Architecture,9.71,Yes,Yes,Yes,Yes,5,No,Placed
STU1373,F,State Board,89.7,CBSE,50.5,Commerce,6.37,No,No,No,No,1,Yes,Not Placed
STU1374,F,State Board,79.5,CBSE,89.1,Commerce,6.33,No,No,No,Yes,4,Yes,Placed
STU1375,F,ICSE,94.9,CBSE,89.2,Commerce,6.79,No,Yes,No,No,3,Yes,Not Placed
STU1376,M,ICSE,97.3,State Board,75.1,MBA,6.21,No,Yes,Yes,No,3,Yes,Placed
STU1377,F,CBSE,71.0,ICSE,60.2,Mechanical Engineering,6.8,Yes,No,No,Yes,1,No,Placed
STU1378,M,CBSE,69.6,ICSE,84.4,Architecture,7.75,No,Yes,No,Yes,5,Yes,Placed
STU1379,F,ICSE,85.7,State Board,55.4,Electrical Engineering,6.84,Yes,Yes,No,Yes,1,No,Placed
STU1380,M,ICSE,63.6,ICSE,63.0,MCA,6.87,No,Yes,No,Yes,3,Yes,Placed
STU1381,M,State Board,70.1,ICSE,62.7,Civil Engineering,9.56,No,Yes,No,No,5,No,Placed
STU1382,M,CBSE,75.2,State Board,52.4,Electrical Engineering,7.15,Yes,No,No,No,5,No,Placed
STU1383,M,ICSE,79.4,CBSE,88.2,Chemical Engineering,9.45,No,Yes,No,No,4,Yes,Not Placed
STU1384,F,ICSE,71.9,State Board,93.1,Electronics,6.92,No,No,No,Yes,4,Yes,Placed
STU1385,M,ICSE,88.0,State Board,77.0,Medicine,7.68,No,Yes,No,Yes,3,No,Placed
STU1386,M,State Board,65.5,CBSE,95.8,Law,7.15,No,Yes,No,No,4,No,Not Placed
STU1387,M,State Board,83.8,State Board,93.8,Biotechnology,7.97,No,Yes,No,No,3,Yes,Not Placed
STU1388,F,ICSE,58.0,CBSE,82.2,Information Technology,8.06,No,No,No,Yes,1,Yes,Placed
STU1389,M,State Board,61.4,State Board,63.7,Computer Science,8.15,No,Yes,No,No,3,No,Not Placed
STU1390,F,CBSE,80.1,State Board,96.4,Law,7.24,Yes,No,Yes,Yes,5,No,Placed
STU1391,M,CBSE,73.6,State Board,68.5,MCA,6.87,No,No,No,Yes,2,No,Placed
STU1392,F,ICSE,61.6,State Board,55.9,Science,5.55,Yes,Yes,No,No,2,Yes,Placed
STU1393,F,State Board,81.0,ICSE,79.3,Law,7.45,No,No,No,Yes,2,No,Placed
STU1394,M,State Board,76.6,ICSE,93.5,Architecture,7.98,Yes,Yes,No,No,1,No,Not Placed
STU1395,M,State Board,86.4,ICSE,71.9,Mechanical Engineering,5.84,Yes,Yes,Yes,Yes,5,No,Placed
STU1396,M,ICSE,74.5,ICSE,77.0,Commerce,6.93,No,No,No,Yes,5,No,Placed
STU1397,M,State Board,75.3,CBSE,76.9,MBA,8.32,No,Yes,No,Yes,2,Yes,Placed
STU1398,F,CBSE,81.5,ICSE,90.3,MBA,5.56,Yes,Yes,No,No,3,Yes,Placed
STU1399,F,CBSE,89.4,CBSE,66.1,Biotechnology,5.86,Yes,Yes,No,No,4,Yes,Placed
STU1400,M,State Board,86.6,ICSE,52.6,Information Technology,6.64,Yes,Yes,No,No,4,No,Placed
STU1401,F,State Board,85.3,ICSE,62.3,Biotechnology,7.78,No,Yes,No,No,4,No,Not Placed
